"injection_table_name","solventReservoir_ID","target_surface_coverage","stage_time","FIDGain","target_Temperature_Column_Oven","flow_Rate","target_column_rh"
"injection1",6,1596.45472591664,60,500,30,10,0
"injection10",6,26653.7607983024,30,1,30,10,0
"injection11",6,49867.9172551675,30,1,30,10,0
"injection12",5,576.082987233351,50,500,30,10,0
"injection13",5,858.192722397123,50,500,30,10,0
"injection14",5,1136.43084785846,40,100,30,10,0
"injection15",5,2212.00785553886,40,100,30,10,0
"injection16",5,3231.25532128959,30,10,30,10,0
"injection17",5,4199.17220101321,30,10,30,10,0
"injection18",5,5121.12084189786,20,1,30,10,0
"injection19",5,6002.73002471195,20,1,30,10,0
"injection2",6,2371.52711847321,60,500,30,10,0
"injection20",5,7668.2996109105,20,1,30,10,0
"injection21",5,9243.396324524379,20,1,30,10,0
"injection22",5,13094.2240596075,20,1,30,10,0
"injection23",5,17363.3595594286,20,1,30,10,0
"injection24",4,207.408499930577,40,500,30,10,0
"injection25",4,310.213753888726,40,100,30,10,0
"injection26",4,412.426619139371,30,100,30,10,0
"injection27",4,815.458353112975,30,10,30,10,0
"injection28",4,1209.42854567834,30,10,30,10,0
"injection29",4,1594.67051577421,20,10,30,10,0
"injection3",6,3129.57185826296,50,100,30,10,0
"injection30",4,1971.51743610428,20,1,30,10,0
"injection31",4,2340.30179620132,20,1,30,10,0
"injection32",4,3055.0110247662,20,1,30,10,0
"injection33",4,3741.44466462732,20,1,30,10,0
"injection34",4,5351.00694276604,20,1,30,10,0
"injection35",4,6840.48504484382,20,1,30,10,0
"injection36",3,80.1206777491939,40,500,30,10,0
"injection37",3,120.04164009858,30,100,30,10,0
"injection38",3,159.869890492409,30,100,30,10,0
"injection39",3,318.258899399155,30,10,30,10,0
"injection4",6,5982.51271821035,50,100,30,10,0
"injection40",3,475.177146398749,20,10,30,10,0
"injection41",3,630.635008976284,20,10,30,10,0
"injection42",3,784.643147130799,10,1,30,10,0
"injection43",3,937.212356744222,10,1,30,10,0
"injection44",3,1238.07897195457,10,1,30,10,0
"injection45",3,1533.3268144596,10,1,30,10,0
"injection46",3,2247.500605923,10,1,30,10,0
"injection47",3,2928.75533104517,10,1,30,10,0
"injection48",2,51.4259985789418,3,100,30,10,0
"injection49",2,68.51953093053299,3,100,30,10,0
"injection5",6,8561.83445366661,50,10,30,10,0
"injection50",2,136.652223332241,3,10,30,10,0
"injection51",2,204.400232801144,3,10,30,10,0
"injection52",2,271.765711915071,3,10,30,10,0
"injection53",2,338.750822652797,3,1,30,10,0
"injection54",2,405.357674163355,3,1,30,10,0
"injection55",2,537.445269482777,3,1,30,10,0
"injection56",2,668.045631746144,3,1,30,10,0
"injection57",2,988.1515864622889,3,1,30,10,0
"injection58",2,1299.33375499948,3,1,30,10,0
"injection59",1,52.6129095718413,3,10,30,10,0
"injection6",6,10928.8092827869,40,10,30,10,0
"injection60",1,78.68210394147989,3,10,30,10,0
"injection61",1,104.594650222629,3,10,30,10,0
"injection62",1,130.35169005634,3,1,30,10,0
"injection63",1,155.954340147148,3,1,30,10,0
"injection64",1,206.701004680936,3,1,30,10,0
"injection65",1,256.84358620764,3,1,30,10,0
"injection66",1,379.614924735298,3,1,30,10,0
"injection67",1,498.801351156892,3,1,30,10,0
"injection68",8,59.8851845343126,3,10,30,10,0
"injection69",8,79.61476404004991,3,10,30,10,0
"injection7",6,13179.3433380319,40,1,30,10,0
"injection70",8,99.2299223860785,3,1,30,10,0
"injection71",8,118.731615229062,3,1,30,10,0
"injection72",8,157.398424812579,3,1,30,10,0
"injection73",8,195.62263571875,3,1,30,10,0
"injection74",8,289.293505372339,3,1,30,10,0
"injection75",8,380.349207936327,3,1,30,10,0
"injection76",9,62.2983118460217,3,10,30,10,0
"injection77",9,124.226876536445,3,10,30,10,0
"injection78",9,185.787583708999,3,10,30,10,0
"injection79",9,246.98232206513,3,10,30,10,0
"injection8",6,15426.9915961294,40,1,30,10,0
"injection80",9,307.812990635185,3,1,30,10,0
"injection81",9,368.281442262875,3,1,30,10,0
"injection82",9,488.139326816495,3,1,30,10,0
"injection83",9,606.571070346599,3,1,30,10,0
"injection84",9,896.509692231698,3,1,30,10,0
"injection85",9,1177.86348298282,3,1,30,10,0
"injection9",6,20384.5854151857,30,1,30,10,0
