"masterInstrumentSettingsID","masterSchedule_ID","settingsBeforeInjection","settingsAfterInjection"
1,1,1,2
2,2,3,4
3,3,5,6
4,4,7,8
5,5,9,10
6,6,11,12
7,7,13,14
8,8,15,16
9,9,17,18
10,10,19,20
11,11,21,22
12,12,23,24
13,13,25,26
14,14,27,28
15,15,29,30
16,16,31,32
17,17,33,34
18,18,35,36
19,19,37,38
20,20,39,40
21,21,41,42
22,22,43,44
23,23,45,46
24,24,47,48
25,25,49,50
26,26,51,52
27,27,53,54
28,28,55,56
29,29,57,58
30,30,59,60
31,31,61,62
32,32,63,64
33,33,65,66
34,34,67,68
35,35,69,70
36,36,71,72
37,37,73,74
38,38,75,76
39,39,77,78
40,40,79,80
41,41,81,82
42,42,83,84
43,43,85,86
44,44,87,88
45,45,89,90
46,46,91,92
47,47,93,94
48,48,95,96
49,49,97,98
50,50,99,100
51,51,101,102
52,52,103,104
53,53,105,106
54,54,107,108
55,55,109,110
56,56,111,112
57,57,113,114
58,58,115,116
59,59,117,118
60,60,119,120
61,61,121,122
62,62,123,124
63,63,125,126
64,64,127,128
65,65,129,130
66,66,131,132
67,67,133,134
68,68,135,136
69,69,137,138
70,70,139,140
71,71,141,142
72,72,143,144
73,73,145,146
74,74,147,148
75,75,149,150
76,76,151,152
77,77,153,154
78,78,155,156
79,79,157,158
80,80,159,160
81,81,161,162
82,82,163,164
83,83,165,166
84,84,167,168
85,85,169,170
86,86,171,172
87,87,173,174
88,88,175,176
89,89,177,178
90,90,179,180
