"injection_table_name","solventReservoir_ID","target_surface_coverage","stage_time","FIDGain","target_Temperature_Column_Oven","flow_Rate","target_column_rh"
"injection1",3,80.1206777491939,8,500,30,10,0
"injection2",3,159.869890492409,8,500,30,10,0
"injection3",3,318.258899399155,8,100,30,10,0
"injection4",3,630.635008976284,5,100,30,10,0
"injection5",3,937.212356744222,5,100,30,10,0
"injection6",3,1238.07897195457,5,100,30,10,0
"injection7",3,1533.3268144596,5,10,30,10,0
"injection8",3,2247.500605923,5,10,30,10,0
"injection9",3,2592.13812321731,5,10,30,10,0
"injection10",3,2928.75533104517,5,10,30,10,0
"injection11",3,3257.57070784687,3,1,30,10,0
"injection12",3,3578.81075974485,3,1,30,10,0
"injection13",3,3892.70822676264,3,1,30,10,0
"injection14",3,4199.50245874277,3,1,30,10,0
"injection15",3,4792.76784139897,3,1,30,10,0
"injection16",3,5360.63487007703,3,1,30,10,0
"injection17",3,5905.20609925163,3,1,30,10,0
"injection18",3,6428.64808417496,3,1,30,10,0
"injection19",3,6933.17584750818,3,1,30,10,0
"injection20",3,7421.04110373388,3,1,30,10,0
