"masterScheduleID","table_type","injection_name","solvent","status","surface_coverage"
1,2,"colConditioning1","",0,0
2,1,"methaneInjection1","METHANE",0,0
3,1,"methaneInjection2","METHANE",0,0
4,3,"injection1","OCTANE",0,80.1206777491939
5,3,"injection2","OCTANE",0,159.869890492409
6,3,"injection3","OCTANE",0,318.258899399155
7,3,"injection4","OCTANE",0,630.635008976284
8,3,"injection5","OCTANE",0,937.212356744222
9,3,"injection6","OCTANE",0,1238.07897195457
10,3,"injection7","OCTANE",0,1533.3268144596
11,3,"injection8","OCTANE",0,2247.500605923
12,3,"injection9","OCTANE",0,2592.13812321731
13,3,"injection10","OCTANE",0,2928.75533104517
14,3,"injection11","OCTANE",0,3257.57070784687
15,3,"injection12","OCTANE",0,3578.81075974485
16,3,"injection13","OCTANE",0,3892.70822676264
17,3,"injection14","OCTANE",0,4199.50245874277
18,3,"injection15","OCTANE",0,4792.76784139897
19,3,"injection16","OCTANE",0,5360.63487007703
20,3,"injection17","OCTANE",0,5905.20609925163
21,3,"injection18","OCTANE",0,6428.64808417496
22,3,"injection19","OCTANE",0,6933.17584750818
23,3,"injection20","OCTANE",0,7421.04110373388
24,1,"methaneInjection3","METHANE",0,0
25,1,"methaneInjection4","METHANE",0,0
