"instrumentSettingsID","pressure","target_temp_column_oven","actual_temp_column_oven","target_temp_reservoir_drawer1","actual_temp_reservoir_drawer1","target_temp_reservoir_drawer2","actual_temp_reservoir_drawer2","target_temp_fid","actual_temp_fid","actual_temp_gas_inlet","actual_temp_injection_manifold","actual_temp_fid_flame","actual_temp_ambient","target_flow_channel0","actual_flow_channel0","target_flow_channel1","actual_flow_channel1","target_flow_channel2","actual_flow_channel2","target_flow_channel3","actual_flow_channel3","target_flow_channel4","actual_flow_channel4","target_flow_channel5","actual_flow_channel5","target_flow_channel6","actual_flow_channel6"
1,28.69887,120,119.0398,32,32.01191,32,32.03333,180,179.9952,52.70649,55.29013,229.7225,29.72283,0,0,10,10,10,9.97,0,0,0,0,0,0,0,0
2,28.985,120,120.0037,32,32.00076,32,31.99924,180,180.0426,53.90979,57.7394,229.0335,29.24016,0,0,10,9.995,10,10,0,0,0,0,0,0,0,0
3,24.00633,30,30.9731,32,31.96501,32,32.01471,180,179.7808,52.86205,55.6577,215.6774,31.71708,0,0,10,9.985,10,9.985,0,0,0,0,0,0,0,0
4,27.15377,30,28.15238,32,31.95791,32,31.97784,180,179.9534,52.23635,54.7323,215.1692,31.3272,0,0,10,9.985,10,9.99,0,0,0,0,0,0,0,0
5,22.11787,30,29.00596,32,31.89285,32,31.92185,180,179.8299,49.07479,50.68155,214.8882,29.07776,0,0,10,10.015,10,10.015,0,0,0,0,0,0,0,0
6,25.63728,30,29.36843,32,31.87804,32,31.92475,180,180.0207,48.19968,49.60716,214.9766,28.54421,0,0,10,9.995,10,9.99,0,0,0,0,0,0,0,0
7,21.91758,30,29.8175,32,31.97067,32,31.97412,180,179.0294,48.10125,47.53894,222.8802,27.60257,2,1.99,10,10.02,10,10.01,0,0,0,0,0,0,0,0
8,25.66589,30,30.00219,32,31.97894,32,31.98581,180,180.5634,49.01736,47.97141,225.5224,27.88693,2,1.985,10,9.98,10,9.995,0,0,0,0,0,0,0,0
9,22.97626,30,30.005,32,31.97871,32,31.98701,180,180.562,49.02349,47.98166,225.1435,27.88843,2,2.045,10,10.05,10,10.015,0,0,0,0,0,0,0,0
10,25.89479,30,30.03365,32,31.99537,32,31.99529,180,180.2702,49.71483,48.78191,227.244,27.98,2,1.995,10,9.995,10,9.985,0,0,0,0,0,0,0,0
11,23.11933,30,30.03483,32,31.99751,32,31.99618,180,180.2716,49.72226,48.79504,226.8803,27.96984,2,2,10,10,10,9.995,0,0,0,0,0,0,0,0
12,26.29538,30,30.06014,32,31.99807,32,31.99188,180,180.2646,50.24042,49.62858,228.1304,27.90179,2,2.025,10,10.035,10,9.98,0,0,0,0,0,0,0,0
