"ID","sea_time","fid_signal"
1,0,1166.165
2,0.001667,1166.016
3,0.003333,1165.643
4,0.005,1165.643
5,0.006667,1162.589
6,0.008333,1159.385
7,0.010117,1160.353
8,0.011667,1160.353
9,0.013333,1164.004
10,0.015,1167.58
11,0.016683,1167.58
12,0.018333,1167.506
13,0.02,1168.4
14,0.021667,1168.624
15,0.023333,1168.624
16,0.025,1168.549
17,0.026667,1168.698
18,0.028333,1167.506
19,0.03,1167.506
20,0.031667,1164.153
21,0.033333,1166.463
22,0.035,1168.549
23,0.036667,1168.549
24,0.038333,1167.432
25,0.039983,1169.369
26,0.04165,1169.369
27,0.043317,1165.792
28,0.044983,1164.079
29,0.04665,1161.695
30,0.048317,1161.695
31,0.049983,1159.757
32,0.05165,1159.012
33,0.053317,1159.236
34,0.054967,1159.236
35,0.056633,1161.918
36,0.0583,1163.408
37,0.059967,1164.898
38,0.061633,1164.898
39,0.0633,1166.388
40,0.064967,1166.612
41,0.066633,1166.612
42,0.0683,1161.769
43,0.069967,1162.812
44,0.071633,1161.099
45,0.0733,1161.099
46,0.07496700000000001,1160.502
47,0.07663300000000001,1165.494
48,0.07829999999999999,1165.122
49,0.079967,1165.122
50,0.081633,1165.196
51,0.0833,1165.941
52,0.084967,1162.589
53,0.086633,1162.589
54,0.0883,1163.259
55,0.08996700000000001,1163.855
56,0.09163300000000001,1160.577
57,0.09329999999999999,1160.577
58,0.095,1161.62
59,0.096633,1160.875
60,0.0983,1160.875
61,0.099967,1159.608
62,0.101633,1163.334
63,0.1033,1164.973
64,0.104967,1164.973
65,0.106633,1162.44
66,0.1083,1161.695
67,0.109967,1162.142
68,0.111667,1162.142
69,0.1133,1165.196
70,0.114967,1169.369
71,0.116617,1169.89
72,0.118283,1169.89
73,0.11995,1170.337
74,0.121617,1165.569
75,0.123283,1165.569
76,0.12495,1163.334
77,0.126617,1167.357
78,0.1284,1167.879
79,0.12995,1167.879
80,0.131617,1168.773
81,0.133283,1168.549
82,0.13495,1165.047
83,0.136617,1165.047
84,0.138283,1162.514
85,0.13995,1165.196
86,0.141617,1164.824
87,0.143283,1164.824
88,0.14495,1164.973
89,0.146617,1164.228
90,0.148283,1163.632
91,0.14995,1163.632
92,0.151617,1165.569
93,0.153283,1165.792
94,0.154983,1165.792
95,0.156617,1165.867
96,0.158283,1163.93
97,0.15995,1161.918
98,0.161617,1161.918
99,0.163283,1161.471
100,0.16495,1162.291
101,0.166617,1163.483
102,0.168283,1163.483
103,0.16995,1165.494
104,0.171617,1166.09
105,0.173283,1168.102
106,0.174933,1168.102
107,0.1766,1170.635
108,0.178267,1169.667
109,0.179933,1169.667
110,0.1816,1170.263
111,0.183267,1169.294
