"ID","sea_time","fid_signal"
1,0,1173.839
2,0.001667,1171.157
3,0.003333,1168.326
4,0.005,1167.729
5,0.006667,1167.729
6,0.008333,1162.961
7,0.01,1162.589
8,0.011667,1162.887
9,0.013333,1162.887
10,0.015,1165.494
11,0.016667,1168.027
12,0.018333,1168.027
13,0.02,1169.294
14,0.021667,1168.475
15,0.023333,1168.251
16,0.025,1168.251
17,0.026667,1167.357
18,0.028333,1165.494
19,0.03,1165.42
20,0.031667,1165.42
21,0.033333,1165.941
22,0.035,1169.741
23,0.03665,1175.106
24,0.038317,1175.106
25,0.039983,1176.894
26,0.04165,1175.553
27,0.043317,1170.635
28,0.044983,1170.635
29,0.04665,1166.388
30,0.048317,1163.259
31,0.049983,1163.259
32,0.05165,1164.451
33,0.053317,1168.698
34,0.055,1171.008
35,0.05665,1171.008
36,0.058333,1174.51
37,0.059983,1172.051
38,0.06165,1169.667
39,0.063317,1169.667
40,0.064983,1167.208
41,0.066667,1166.91
42,0.068317,1168.549
43,0.069983,1168.549
44,0.07165000000000001,1171.008
45,0.07331699999999999,1174.286
46,0.075,1174.286
47,0.07665,1176.074
48,0.078317,1178.682
49,0.079983,1176.447
50,0.08165,1176.447
51,0.083317,1173.168
52,0.084983,1169.965
53,0.08665,1166.016
54,0.08831700000000001,1166.016
55,0.08998299999999999,1165.569
56,0.0917,1165.42
57,0.093317,1165.271
58,0.094983,1165.271
59,0.09665,1166.761
60,0.0983,1168.475
61,0.099967,1171.306
62,0.101633,1171.306
63,0.1033,1175.329
64,0.104967,1174.212
65,0.106633,1174.212
66,0.1083,1171.902
67,0.109967,1170.561
68,0.111617,1170.114
69,0.113283,1170.114
70,0.11495,1171.604
71,0.116617,1174.51
72,0.118283,1174.286
73,0.11995,1174.286
74,0.121617,1173.615
75,0.123283,1171.902
76,0.12495,1168.996
77,0.126617,1168.996
78,0.128283,1166.91
79,0.129967,1165.792
80,0.131617,1165.792
81,0.133283,1167.953
82,0.13495,1166.984
83,0.136617,1169.443
84,0.138283,1169.443
85,0.14,1169.965
86,0.141617,1167.655
87,0.1433,1168.773
88,0.14495,1168.773
89,0.146617,1170.039
90,0.148283,1167.953
91,0.14995,1167.953
92,0.151617,1167.953
93,0.153283,1168.698
94,0.15495,1165.122
95,0.1566,1165.122
96,0.158267,1165.941
97,0.159933,1166.388
98,0.1616,1168.251
99,0.163267,1168.251
100,0.164933,1171.306
101,0.1666,1173.317
102,0.168267,1173.094
103,0.169933,1173.094
104,0.1716,1168.624
105,0.173267,1168.251
106,0.174933,1167.729
107,0.1766,1167.729
108,0.178267,1167.357
109,0.179933,1169.592
110,0.1816,1167.506
111,0.183267,1167.506
112,0.184933,1167.282
113,0.1866,1166.761
114,0.188267,1166.761
115,0.189933,1164.675
116,0.1916,1163.483
117,0.193267,1162.514
118,0.194933,1162.514
119,0.1966,1164.973
120,0.198267,1167.58
121,0.199933,1168.624
122,0.2016,1168.624
123,0.203267,1168.624
