"instrumentSettingsID","pressure","target_temp_column_oven","actual_temp_column_oven","target_temp_reservoir_drawer1","actual_temp_reservoir_drawer1","target_temp_reservoir_drawer2","actual_temp_reservoir_drawer2","target_temp_fid","actual_temp_fid","actual_temp_gas_inlet","actual_temp_injection_manifold","actual_temp_fid_flame","actual_temp_ambient","target_flow_channel0","actual_flow_channel0","target_flow_channel1","actual_flow_channel1","target_flow_channel2","actual_flow_channel2","target_flow_channel3","actual_flow_channel3","target_flow_channel4","actual_flow_channel4","target_flow_channel5","actual_flow_channel5","target_flow_channel6","actual_flow_channel6"
1,167.3004,120,119.0357,32,32.02031,32,32.02849,180,179.9879,52.20031,55.10579,228.2901,28.88961,0,0,10,10.025,10,10.015,0,0,0,0,0,0,0,0
2,169.3605,120,120.0122,32,31.99881,32,32.00721,180,179.8762,53.24206,57.18723,227.5652,28.65664,0,0,10,10,10,9.995,0,0,0,0,0,0,0,0
3,133.022,50,49.01583,32,31.80732,32,31.91736,180,180.0284,52.03347,53.55592,220.2115,28.72074,0,0,10,10.01,10,9.995,0,0,0,0,0,0,0,0
4,136.7989,50,50.00625,32,31.82371,32,31.88284,180,180.3535,52.35042,53.85426,223.3657,28.47868,0,0,10,9.955,10,9.975,0,0,0,0,0,0,0,0
5,136.1122,50,50.01035,32,31.82511,32,31.88296,180,180.3426,52.35476,53.85052,223.0783,28.46917,0,0,10,10.035,10,10.01,0,0,0,0,0,0,0,0
6,136.2552,50,50.00134,32,31.90641,32,31.91728,180,180.2024,52.54256,54.24055,224.8271,28.1085,0,0,10,9.99,10,9.995,0,0,0,0,0,0,0,0
7,132.5928,50,49.9745,32,31.98372,32,31.98368,180,180.005,52.35865,55.19139,227.8434,27.48285,2,2.01,10,10.02,10,9.995,0,0,0,0,0,0,0,0
8,137.6573,50,49.99469,32,31.99728,32,31.99424,180,179.9384,51.97095,54.96343,228.1255,27.29043,2,2.04,10,10.025,10,9.985,0,0,0,0,0,0,0,0
9,134.5957,50,49.99945,32,31.99445,32,31.99572,180,179.9405,51.96552,54.98345,228.1482,27.32479,2,2.02,10,10.015,10,10.02,0,0,0,0,0,0,0,0
10,136.942,50,49.99885,32,31.99932,32,31.99014,180,180.0285,51.81532,54.76381,228.2939,27.12279,2,1.975,10,9.95,10,9.97,0,0,0,0,0,0,0,0
11,134.8818,50,49.99895,32,31.99983,32,31.99022,180,180.0209,51.80077,54.72861,228.2656,27.09381,2,2.04,10,10.005,10,9.955,0,0,0,0,0,0,0,0
12,137.2281,50,49.99355,32,31.99835,32,32.00067,180,179.9973,51.75702,54.68605,228.3028,27.03772,2,1.965,10,10.015,10,10.005,0,0,0,0,0,0,0,0
13,134.7388,50,49.99596,32,31.99849,32,31.99931,180,180.0014,51.74574,54.66185,228.2189,26.95263,2,2.035,10,10.01,10,10.02,0,0,0,0,0,0,0,0
14,137.3139,50,50.00134,32,31.99914,32,32.00013,180,179.9769,51.7539,54.61087,228.2408,27.02974,2,1.99,10,9.985,10,9.98,0,0,0,0,0,0,0,0
