"injection_table_name","solventReservoir_ID","target_surface_coverage","stage_time","FIDGain","target_Temperature_Column_Oven","flow_Rate","target_column_rh"
"injection1",4,834.729757624619,40,500,50,10,0
"injection2",4,1237.68290959725,35,100,50,10,0
"injection3",4,1631.50571638453,30,100,50,10,0
"injection4",4,3122.64207775993,30,10,50,10,0
"injection5",4,4496.18573025343,25,10,50,10,0
"injection6",4,5774.57984794723,20,10,50,10,0
"injection7",4,6979.72644300583,20,1,50,10,0
"injection8",4,8132.78593451123,20,1,50,10,0
"injection9",4,10362.4615991095,20,1,50,10,0
"injection10",4,12611.1829187153,20,1,50,10,0
"injection11",4,15003.8525367982,20,1,50,10,0
"injection12",4,19069.3639652723,20,1,50,10,0
"injection13",4,27520.2791670997,15,1,50,10,0
"injection14",4,49089.9436838584,15,1,50,10,0
"injection15",3,325.886442747287,15,500,50,10,0
"injection16",3,486.510808943705,15,100,50,10,0
"injection17",3,645.604064869845,10,100,50,10,0
"injection18",3,1266.89897898098,10,10,50,10,0
"injection19",3,1864.66011887793,10,10,50,10,0
"injection20",3,2439.72864221902,10,10,50,10,0
"injection21",3,2993.00694137508,8,1,50,10,0
"injection22",3,3525.45340239053,8,1,50,10,0
"injection23",3,4531.93947367049,8,1,50,10,0
"injection24",3,5467.80064701248,8,1,50,10,0
"injection25",3,6342.24068641078,8,1,50,10,0
"injection26",3,7559.90052452145,8,1,50,10,0
"injection27",3,9421.82189484254,8,1,50,10,0
"injection28",3,13063.3047626212,8,1,50,10,0
"injection29",2,139.939599859225,5,100,50,10,0
"injection30",2,209.303119670673,5,100,50,10,0
"injection31",2,278.26553710671,5,100,50,10,0
"injection32",2,550.15031433838,5,10,50,10,0
"injection33",2,815.80156837554,5,10,50,10,0
"injection34",2,1075.36564694993,3,10,50,10,0
"injection35",2,1328.98803046248,3,1,50,10,0
"injection36",2,1576.81307390513,3,1,50,10,0
"injection37",2,2055.64465717972,3,1,50,10,0
"injection38",2,2512.99676415236,3,1,50,10,0
"injection39",2,2949.98891876582,3,1,50,10,0
"injection40",2,3569.70984612881,3,1,50,10,0
"injection41",2,4516.13937422719,3,1,50,10,0
"injection42",2,6142.4708425799,3,1,50,10,0
"injection43",1,53.8781027528069,2,100,50,10,0
"injection44",1,80.568345757594,2,100,50,10,0
"injection45",1,107.094355020267,2,10,50,10,0
"injection46",1,211.580376343599,2,10,50,10,0
"injection47",1,313.535183218943,2,10,50,10,0
"injection48",1,413.034282965644,2,10,50,10,0
"injection49",1,510.151611047576,2,1,50,10,0
"injection50",1,604.959463700454,2,1,50,10,0
"injection51",1,787.9285768601979,2,1,50,10,0
"injection52",1,962.489920534583,2,1,50,10,0
"injection53",1,1129.1679540191,2,1,50,10,0
"injection54",1,1365.4949487155,2,1,50,10,0
"injection55",1,1726.74598878847,2,1,50,10,0
"injection56",1,2350.17593752662,2,1,50,10,0
"injection57",8,238.861809764619,2,10,50,10,0
"injection58",8,314.812743011162,2,10,50,10,0
"injection59",8,389.027066505141,2,1,50,10,0
"injection60",8,461.558268130457,2,1,50,10,0
"injection61",8,601.769506861842,2,1,50,10,0
"injection62",8,735.8137619180731,2,1,50,10,0
"injection63",8,864.016609867327,2,1,50,10,0
"injection64",8,1045.99458019282,2,1,50,10,0
"injection65",8,1323.79120696368,2,1,50,10,0
"injection66",9,252.885773993843,2,10,50,10,0
"injection67",9,499.663979375005,2,10,50,10,0
"injection68",9,740.464224204429,2,10,50,10,0
"injection69",9,975.4157981566429,2,10,50,10,0
"injection70",9,1204.64767909553,2,1,50,10,0
"injection71",9,1428.28828709414,2,1,50,10,0
"injection72",9,1859.30805527003,2,1,50,10,0
"injection73",9,2269.49446462112,2,1,50,10,0
"injection74",9,2659.85818939556,2,1,50,10,0
"injection75",9,3210.42469727477,2,1,50,10,0
"injection76",9,4042.95544992686,2,1,50,10,0
