"masterScheduleID","table_type","injection_name","solvent","status","surface_coverage"
1,2,"colConditioning1","",0,0
2,1,"methaneInjection1","METHANE",0,0
3,1,"methaneInjection2","METHANE",0,0
4,3,"injection1","NONANE",0,834.729757624619
5,3,"injection2","NONANE",0,1237.68290959725
6,3,"injection3","NONANE",0,1631.50571638453
7,3,"injection4","NONANE",0,3122.64207775993
8,3,"injection5","NONANE",0,4496.18573025343
9,3,"injection6","NONANE",0,5774.57984794723
10,3,"injection7","NONANE",0,6979.72644300583
11,3,"injection8","NONANE",0,8132.78593451123
12,3,"injection9","NONANE",0,10362.4615991095
13,3,"injection10","NONANE",0,12611.1829187153
14,3,"injection11","NONANE",0,15003.8525367982
15,3,"injection12","NONANE",0,19069.3639652723
16,3,"injection13","NONANE",0,27520.2791670997
17,3,"injection14","NONANE",0,49089.9436838584
18,3,"injection15","OCTANE",0,325.886442747287
19,3,"injection16","OCTANE",0,486.510808943705
20,3,"injection17","OCTANE",0,645.604064869845
21,3,"injection18","OCTANE",0,1266.89897898098
22,3,"injection19","OCTANE",0,1864.66011887793
23,3,"injection20","OCTANE",0,2439.72864221902
24,3,"injection21","OCTANE",0,2993.00694137508
25,3,"injection22","OCTANE",0,3525.45340239053
26,3,"injection23","OCTANE",0,4531.93947367049
27,3,"injection24","OCTANE",0,5467.80064701248
28,3,"injection25","OCTANE",0,6342.24068641078
29,3,"injection26","OCTANE",0,7559.90052452145
30,3,"injection27","OCTANE",0,9421.82189484254
31,3,"injection28","OCTANE",0,13063.3047626212
32,3,"injection29","HEPTANE",0,139.939599859225
33,3,"injection30","HEPTANE",0,209.303119670673
34,3,"injection31","HEPTANE",0,278.26553710671
35,3,"injection32","HEPTANE",0,550.15031433838
36,3,"injection33","HEPTANE",0,815.80156837554
37,3,"injection34","HEPTANE",0,1075.36564694993
38,3,"injection35","HEPTANE",0,1328.98803046248
39,3,"injection36","HEPTANE",0,1576.81307390513
40,3,"injection37","HEPTANE",0,2055.64465717972
41,3,"injection38","HEPTANE",0,2512.99676415236
42,3,"injection39","HEPTANE",0,2949.98891876582
43,3,"injection40","HEPTANE",0,3569.70984612881
44,3,"injection41","HEPTANE",0,4516.13937422719
45,3,"injection42","HEPTANE",0,6142.4708425799
46,3,"injection43","HEXANE",0,53.8781027528069
47,3,"injection44","HEXANE",0,80.568345757594
48,3,"injection45","HEXANE",0,107.094355020267
49,3,"injection46","HEXANE",0,211.580376343599
50,3,"injection47","HEXANE",0,313.535183218943
51,3,"injection48","HEXANE",0,413.034282965644
52,3,"injection49","HEXANE",0,510.151611047576
53,3,"injection50","HEXANE",0,604.959463700454
54,3,"injection51","HEXANE",0,787.9285768601979
55,3,"injection52","HEXANE",0,962.489920534583
56,3,"injection53","HEXANE",0,1129.1679540191
57,3,"injection54","HEXANE",0,1365.4949487155
58,3,"injection55","HEXANE",0,1726.74598878847
59,3,"injection56","HEXANE",0,2350.17593752662
60,3,"injection57","DICHLOROMETHANE",0,238.861809764619
61,3,"injection58","DICHLOROMETHANE",0,314.812743011162
62,3,"injection59","DICHLOROMETHANE",0,389.027066505141
63,3,"injection60","DICHLOROMETHANE",0,461.558268130457
64,3,"injection61","DICHLOROMETHANE",0,601.769506861842
65,3,"injection62","DICHLOROMETHANE",0,735.8137619180731
66,3,"injection63","DICHLOROMETHANE",0,864.016609867327
67,3,"injection64","DICHLOROMETHANE",0,1045.99458019282
68,3,"injection65","DICHLOROMETHANE",0,1323.79120696368
69,3,"injection66","ETHYL ACETATE",0,252.885773993843
70,3,"injection67","ETHYL ACETATE",0,499.663979375005
71,3,"injection68","ETHYL ACETATE",0,740.464224204429
72,3,"injection69","ETHYL ACETATE",0,975.4157981566429
73,3,"injection70","ETHYL ACETATE",0,1204.64767909553
74,3,"injection71","ETHYL ACETATE",0,1428.28828709414
75,3,"injection72","ETHYL ACETATE",0,1859.30805527003
76,3,"injection73","ETHYL ACETATE",0,2269.49446462112
77,3,"injection74","ETHYL ACETATE",0,2659.85818939556
78,3,"injection75","ETHYL ACETATE",0,3210.42469727477
79,3,"injection76","ETHYL ACETATE",0,4042.95544992686
80,1,"methaneInjection3","METHANE",0,0
81,1,"methaneInjection4","METHANE",0,0
